Day,Notes
2012-10-23,Rainy; Niner Back Nine
2012-10-24,
2012-10-25,
2012-10-26,
2012-10-27,3 Club
2012-10-28,
2012-10-29,mustang soccer
2012-10-30,Inventory
2012-10-31,
2012-11-01,DWGG Informal Guest Day
2012-11-02,
2012-11-03,
2012-11-04,Member Recognition Event
2012-11-05,
2012-11-06,
2012-11-07,
2012-11-08,Rain
2012-11-09,
2012-11-10,
2012-11-11,Couples Turkey
2012-11-12,Veteran's Day Club Open
2012-11-13,
2012-11-14,
2012-11-15,DWGG Turkey Shoot
2012-11-16,Bobby Jones Rd 1; Rainy
2012-11-17,Bobby Jones Rd 2; Rainy
2012-11-18,
2012-11-19,
2012-11-20,
2012-11-21,Men In Black
2012-11-22,Thanksgiving
2012-11-23,
2012-11-24,
2012-11-25,
2012-11-26,
2012-11-27,
2012-11-28,Rain
2012-11-29,
2012-11-30,rainy all day
2012-12-01,Rain
2012-12-02,Rain Course Closed
2012-12-03,
2012-12-04,
2012-12-05,Rain
2012-12-06,
2012-12-07,
2012-12-08,
2012-12-09,
2012-12-10,
2012-12-11,
2012-12-12,
2012-12-13,
2012-12-14,Employee Sale
2012-12-15,Frost
2012-12-16,
2012-12-17,
2012-12-18,Frost
2012-12-19,Frost
2012-12-20,Frost
2012-12-21,Rain
2012-12-22,Rain
2012-12-23,rain
2012-12-24,Xmas eve
2012-12-25,
2012-12-26,
2012-12-27,JD Golf Outing
2012-12-28,Frost
2012-12-29,Power Outage
2012-12-30,Frost
2012-12-31,Frost
2013-01-01,
2013-01-02,frost delay until 10am.  
2013-01-03,Frost till 10
2013-01-04,Frost till 10
2013-01-05,Gift Certificate
2013-01-06,
2013-01-07,
2013-01-08,Fog
2013-01-09,Foggy and Cold
2013-01-10,
2013-01-11,Frost delay until 10am
2013-01-12,Frost delay until 10am
2013-01-13,Frost delay until 10am
2013-01-14,Frost delay until 10am
2013-01-15,Frost delay until 10am
2013-01-16,Frost delay until 10am
2013-01-17,Frost delay until 10am
2013-01-18,Frost delay until 10am
2013-01-19,112.50 in GC
2013-01-20,Frost delay until 10am
2013-01-21,MLK
2013-01-22,Frost delay until 10am
2013-01-23,Rain
2013-01-24,Afternoon Rain
2013-01-25,Morning Rain
2013-01-26,$25 gift certificate
2013-01-27,Old Gift Cert. Frost
2013-01-28,
2013-01-29,Inventory
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-02,
2013-02-03,
2013-02-04,
2013-02-05,
2013-02-06,frostm delay til 830
2013-02-07,ladies free guest day
2013-02-08,Aaron took a Friday  off
2013-02-09,Aaron took a Saturday off
2013-02-10,Pebble Beach (Brent won)
2013-02-11,
2013-02-12,Frost delay until 9:30am.
2013-02-13,De La Salle No Show
2013-02-14,DWGG Valentine's Day event
2013-02-15,Handicap Billing
2013-02-16,Sunny
2013-02-17,Sunny
2013-02-18,President's Day-Club Open
2013-02-19,rain all day - zero rounds.
2013-02-20,Sunny
2013-02-21,Locker Room Party
2013-02-22,Frost delay til 9
2013-02-23,
2013-02-24,Busy Sunday
2013-02-25,
2013-02-26,Holyninere Rules Day
2013-02-27,frost Delay until 830am
2013-02-28,
2013-03-01,Warm Friday
2013-03-02,Warm Saturday
2013-03-03,Beautiful weather
2013-03-04,
2013-03-05,KC back in CA
2013-03-06,Gregs first day
2013-03-07,"Gloomy day, Ladies day"
2013-03-08,Nice Friday at Diablo
2013-03-09,Busy Afternoon
2013-03-10,"Nice Sunday …great weather, crazy crazy busy!"
2013-03-11,De La Salle HS Invitational
2013-03-12,Just another beautiful Tuesday
2013-03-13,Hot
2013-03-14,WGANC Open Day
2013-03-15,Nice Friday
2013-03-16,Great Saturday
2013-03-17,St Paddys Day
2013-03-18,
2013-03-19,Quiet Day
2013-03-20,Rain
2013-03-21,March madness begins
2013-03-22,Busy Fri afternoon
2013-03-23,
2013-03-24,Nice Weekend for golf
2013-03-25,
2013-03-26,Sunny Tuesday
2013-03-27,Aarons last day off
2013-03-28,
2013-03-29,"Holla, busy Friday "
2013-03-30,Titlest DemoDay
2013-03-31,Happy Easter
2013-04-01,
2013-04-02,Nice Day
2013-04-03,busy Wednesday
2013-04-04,Rainy Thursday
2013-04-05,Busy Friday afternoon
2013-04-06,
2013-04-07,Nice weekend
2013-04-08,
2013-04-09,Set-up Senior Tourney
2013-04-10,Hot Wednesday
2013-04-11,
2013-04-12,Smith and Jones Day 1
2013-04-13,Smith and Jones Day 2
2013-04-14,Masters Sunday
2013-04-15,Catholic Charities East Bay Event
2013-04-16,Quiet Tuesday
2013-04-17,Easy Wednesday 
2013-04-18,Relaxing Thursday
2013-04-19,Busy Friday afternoon
2013-04-20,Tournament
2013-04-21,Four man day two
2013-04-22,
2013-04-23,
2013-04-24,Aaron has a day off
2013-04-25,DWGG  TT
2013-04-26,normal Friday
2013-04-27,Parent Child Tourney
2013-04-28,hot Sunday
2013-04-29,CD Charity Event
2013-04-30,finish inventory
2013-05-01,
2013-05-02,Ladies member guest day
2013-05-03,Nice Friday 
2013-05-04,Couples Twilight
2013-05-05,Scotch Practice Round
2013-05-06,Scotch Club Round 1
2013-05-07,Scotch Round 2
2013-05-08,
2013-05-09,Cash was off by more than $100
2013-05-10,JD Friday
2013-05-11,Ping Demo Day
2013-05-12,Mothers Day
2013-05-13,Brother Maris Tournament
2013-05-14,
2013-05-15,
2013-05-16,Big Wheels Day
2013-05-17,CASH DEPOSIT ?????
2013-05-18,Prez Cup Day 1
2013-05-19,Prez Cup Day 2
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,Ladies Handicap Day
2013-05-24,Busy Friday
2013-05-25,Slow Saturday
2013-05-26,WOW! Busiest Sunday I have  seen
2013-05-27,Memorial Day
2013-05-28,
2013-05-29,Busy Wednesday Afternoon
2013-05-30,Member member 
2013-05-31,
2013-06-01,hot Saturday
2013-06-02,Hot Sunday
2013-06-03,Wells Fargo Community  Event
2013-06-04,CPR day
2013-06-05,GNO
2013-06-06,Busy Thursday Afternoon
2013-06-07,Holysmoker
2013-06-08,Member-Member Day 1
2013-06-09,Member-Member Day 1
2013-06-10,
2013-06-11,busy afternoon
2013-06-12,Classic Practice Round
2013-06-13,DWGG ROUND 1
2013-06-14,DWGG  Classic Day 2
2013-06-15,US OPEN Day 3
2013-06-16,fathers Day
2013-06-17,DBIA
2013-06-18,Corena Green & Seniors Interclub
2013-06-19,
2013-06-20,Pop Smith Day 1
2013-06-21,Pop Smith Day 2
2013-06-22,NGCA Team & Bay City Juniors
2013-06-23,Callaway demo day
2013-06-24,Cushman Wakefield Community Event
2013-06-25,Aaron took a day off
2013-06-26,Slow day
2013-06-27,Formal  Guest Day
2013-06-28,
2013-06-29,Diablo Day
2013-06-30,Hot Day again!
2013-07-01,
2013-07-02,Another Hot Day
2013-07-03,
2013-07-04,Flag Day Tourney
2013-07-05,Cool
2013-07-06,Nice Saturday
2013-07-07,
2013-07-08,Plasterers and Cement Masons
2013-07-09,Hot Tuesday
2013-07-10,Cash register $5 short
2013-07-11,Diabo Valley Play
2013-07-12,nice Friday
2013-07-13,Couples Twilight
2013-07-14,Walk on  Sunday
2013-07-15,DentPro community event
2013-07-16,
2013-07-17,Normal Day at Diablo
2013-07-18,Captains Cup
2013-07-19,Typical Friday
2013-07-20,Car show
2013-07-21,Couples Mixed
2013-07-22,
2013-07-23,Senior Interclub
