Day,Notes
2017-05-02,President's Day Round 1
2017-05-02,DWGG Spring handicap
2017-05-02,busy day
2017-05-02,strange weather
2017-05-02,Roadrunner Cup
2017-05-02,too many people
2017-05-02,
2017-05-02,hot busy tiring
2017-05-02,busy busy
2017-05-02,normal day
2017-05-02,Scotch Club on Monday
2017-05-02,Scotch Club Practice Rounds
2017-05-02,Scotch Club Round 2
2017-05-02,NEB Golf Outing
2017-05-02,windy beautiful
2017-05-02,President's cup Round 2
2017-05-02,Couples Member Member
2017-05-02,Seal Software Golf tournament
2017-05-02,nice day
2017-05-02,^
2017-05-02,DWGG Member Member
2017-05-02,"I see the note above, not sure . Didn't take in any cash today."
2017-05-02,"deposited 13.32, drawer back at 551.10"
2017-05-02,Busy Memorial Day Weekend
2017-05-02,GREAT DAY
2017-05-02,Very nice Tuesday
2017-05-02,Old Gift Cert Charged to our cash…. Drawer $50 short
2017-06-02,Hot. 100 degrees. Holyniner mixer in the morning
2017-06-02,CBRE Scott Prosser Event
2017-06-02,Corena Green 
2017-06-02,slow afternoon. PIG though……………………………………………
2017-06-02,another day
2017-06-02,Warm
2017-06-02,"busy day, short PS staff"
2017-06-02,Couples Twilight
2017-06-02,Hot. 100 degrees. 
2017-06-02,"Very hot, NCGA Thursday team vs Round Hill"
2017-06-02,hot hot hot
2017-06-02,Busy until later in the afternoon. Holiday weekend.
2017-06-02,DWGG Formal Guest Day
2017-06-02,Day Before Member Member
2017-06-02,HOT AF!
2017-06-02,Very Hot
2017-06-02,directors cup round 1!
2017-06-02,Directors Cup Round 2
2017-06-02,Fallen Heros Tournament
2017-06-02,
2017-06-02,Senior Invitational Round 1
2017-06-02,Nice day
2017-06-02,Senior Invitational Round 2
2017-06-02,Had to make drawer whole again.. Was short
2017-06-02,Chilly Sunday afternoon
2017-06-02,Dropping $4.12 short to make Drawer whole @ $600 (Junior Achievment)
2017-06-02,IKE'S ORDER / SENIORS @ HOME. 
2017-07-02,put overage in left drawer . Blake wins 5&4
2017-07-02,Joe Morgan
2017-07-02,MPS Guest Day
2017-07-02,Normal Friday 
2017-07-02,Swim meet…busy shop. 
2017-07-02,Plasters and Masons Community Tournament
2017-07-02,HOT
2017-07-02,Womens things and slow
2017-07-02,Senior Interclub
2017-07-02,Couples Invitational
2017-07-02,Slow Day
2017-07-02,Regular Day
2017-07-02,yee
2017-07-02,Busy Friday
2017-07-02,a lot going on
2017-07-02,normal day
2017-07-02,SLOW
2017-07-02,DWGG Captins Tournament
2017-07-02,Cat Saturdays
2017-07-02,lost some dimes?
2017-07-02,us senior am qualifier
2017-07-02,
2017-07-02,slow yet busy day
2017-07-02,slow Saturday
2017-07-02,slow
2017-07-02,East bay Jr. League
2017-07-02,4th of July Flag Day Tournament
2017-08-02,The Eve of Golf Putter
2017-08-02,Kids Golf School. Really hot. 100+
2017-08-02,busy hot hot
2017-08-02,HOT!!
2017-08-02,CASH IS ALL OVER PLACE/GOLD PUTTER NON SENSE/ALL GOOD THOUGH
2017-08-02,Couples Twilight
2017-08-02,Keane Group Play
2017-08-02,DWGG Formal Guest Day and Dwyer BGA Outing
2017-08-02,Sunny
2017-08-02,2 1/2 hour meeting
2017-08-02,Alison gave Rose $20. Long day. 
2017-08-02,slowslowslowslow
2017-08-02,quiet
2017-08-02,slow
2017-08-02,Junior Club Championship Day 2
2017-08-02,Normal Friday
2017-08-02,seniors this am
2017-08-02,Slow slow slow
2017-08-02,NCGA Member Outing
2017-08-02,Busy afternoon
2017-08-02,Slow
2017-08-02,
2017-08-02,$20 short? IDK where. 
2017-08-02,Old Gift Cert = $50
2017-08-02,Junior Club Championship Day 1
