rounds,walkers,tourney,date,DOW
57.0,5.0,0.0,2012-10-25,3
111.0,30.0,0.0,2012-10-26,4
106.0,31.0,0.0,2012-10-27,5
89.0,12.0,0.0,2012-10-28,6
0.0,0.0,0.0,2012-10-29,0
204.0,29.0,123.0,2012-10-30,1
60.0,15.0,0.0,2012-10-31,2
40.0,9.0,0.0,2012-11-01,3
120.0,22.0,0.0,2012-11-02,4
85.0,19.0,0.0,2012-11-03,5
143.0,4.0,122.0,2012-11-04,6
0.0,0.0,0.0,2012-11-05,0
100.0,38.0,0.0,2012-11-06,1
94.0,26.0,0.0,2012-11-07,2
45.0,13.0,0.0,2012-11-08,3
95.0,26.0,0.0,2012-11-09,4
65.0,15.0,0.0,2012-11-10,5
103.0,17.0,56.0,2012-11-11,6
31.0,11.0,0.0,2012-11-12,0
61.0,22.0,0.0,2012-11-13,1
65.0,20.0,0.0,2012-11-14,2
70.0,5.0,33.0,2012-11-15,3
93.0,18.0,50.0,2012-11-16,4
69.0,11.0,50.0,2012-11-17,5
65.0,18.0,0.0,2012-11-18,6
0.0,0.0,0.0,2012-11-19,0
73.0,26.0,0.0,2012-11-20,1
93.0,26.0,0.0,2012-11-21,2
42.0,18.0,0.0,2012-11-22,3
143.0,41.0,0.0,2012-11-23,4
104.0,36.0,0.0,2012-11-24,5
112.0,29.0,0.0,2012-11-25,6
0.0,0.0,0.0,2012-11-26,0
96.0,32.0,0.0,2012-11-27,1
3.0,0.0,0.0,2012-11-28,2
22.0,11.0,0.0,2012-11-29,3
6.0,2.0,0.0,2012-11-30,4
14.0,5.0,0.0,2012-12-01,5
0.0,0.0,0.0,2012-12-02,6
0.0,0.0,0.0,2012-12-03,0
34.0,16.0,0.0,2012-12-04,1
5.0,0.0,0.0,2012-12-05,2
16.0,5.0,0.0,2012-12-06,3
105.0,26.0,0.0,2012-12-07,4
89.0,30.0,0.0,2012-12-08,5
76.0,26.0,0.0,2012-12-09,6
0.0,0.0,0.0,2012-12-10,0
71.0,29.0,0.0,2012-12-11,1
